id,pred
2013_1103_1107,0.5996045423651478
2013_1103_1112,0.27605915435622785
2013_1103_1125,0.4595290628409372
2013_1103_1129,0.5132983941067025
2013_1103_1137,0.46704878444176545
2013_1103_1139,0.2728006176501332
2013_1103_1143,0.47215556555452554
2013_1103_1153,0.3983882550606186
2013_1103_1160,0.39666372121966953
2013_1103_1161,0.33721877643454645
2013_1103_1166,0.3105775246614195
2013_1103_1172,0.573987055097554
2013_1103_1181,0.17479661943020341
2013_1103_1195,0.5965500505566593
2013_1103_1196,0.19265513769876164
2013_1103_1207,0.17110876613432502
2013_1103_1211,0.16178852428715684
2013_1103_1217,0.5397826253305729
2013_1103_1228,0.28026916185393713
2013_1103_1231,0.13603097126004815
2013_1103_1233,0.5799317602206855
2013_1103_1235,0.3951442021119731
2013_1103_1241,0.6270595421709126
2013_1103_1242,0.13861547844552125
2013_1103_1243,0.2244476470064769
2013_1103_1247,0.5134844828165416
2013_1103_1251,0.6150652342792032
2013_1103_1254,0.6207173442924192
2013_1103_1257,0.15183535849360197
2013_1103_1266,0.16573830634079467
2013_1103_1272,0.24345630081237446
2013_1103_1274,0.16190813946914173
2013_1103_1276,0.1896928641516571
2013_1103_1277,0.19118801100812832
2013_1103_1278,0.4448529415153819
2013_1103_1279,0.4788875544751443
2013_1103_1281,0.3368210475295814
2013_1103_1285,0.4904142930042803
2013_1103_1292,0.4367392580105147
2013_1103_1299,0.5931804945786371
2013_1103_1301,0.3349571673423868
2013_1103_1307,0.1724496490790115
2013_1103_1308,0.541934232991693
2013_1103_1314,0.3271802709699543
2013_1103_1322,0.5259070375691125
2013_1103_1323,0.3051949499105002
2013_1103_1326,0.16496371151419298
2013_1103_1328,0.410722110221703
2013_1103_1329,0.23363236368782192
2013_1103_1332,0.4729892473308437
2013_1103_1334,0.5694704588946768
2013_1103_1338,0.311401097961326
2013_1103_1355,0.48273555460012285
2013_1103_1361,0.27238795266035787
2013_1103_1380,0.6342236189454216
2013_1103_1387,0.20536426779436845
2013_1103_1388,0.4616758262083579
2013_1103_1393,0.21839054902691468
2013_1103_1396,0.3386170185631274
2013_1103_1417,0.26422964202534316
2013_1103_1424,0.21672259238138258
2013_1103_1433,0.22924116312338794
2013_1103_1434,0.5699806295182065
2013_1103_1437,0.3559454110721225
2013_1103_1443,0.6364734997164063
2013_1103_1455,0.3381949356571239
2013_1103_1458,0.22020961555094587
2013_1107_1112,0.202957378959701
2013_1107_1125,0.36214730647617355
2013_1107_1129,0.41323413827971456
2013_1107_1137,0.36916193172709866
2013_1107_1139,0.2003229503100762
2013_1107_1143,0.3739493943960288
2013_1107_1153,0.30661279366643823
2013_1107_1160,0.30508407245241354
2013_1107_1161,0.2535948400082362
2013_1107_1166,0.2312549947375634
2013_1107_1172,0.47360442973078654
2013_1107_1181,0.12391965491230872
2013_1107_1195,0.4968233095008543
2013_1107_1196,0.1374459795512747
2013_1107_1207,0.12114761684092967
2013_1107_1211,0.11417389420589663
2013_1107_1217,0.43921462746831064
2013_1107_1228,0.20637035572728668
2013_1107_1231,0.09513645092843959
2013_1107_1233,0.4796801050832751
2013_1107_1235,0.30373875867177047
2013_1107_1241,0.5289189593738672
2013_1107_1242,0.09703124732107149
2013_1107_1243,0.16195535738785372
2013_1107_1247,0.41341476447867964
2013_1107_1251,0.5162035277339581
2013_1107_1254,0.5221795491516793
2013_1107_1257,0.10677681682959839
2013_1107_1266,0.11712367538725232
2013_1107_1272,0.1768785425529954
2013_1107_1274,0.11426310522861471
2013_1107_1276,0.13519045573914745
2013_1107_1277,0.13632829261093138
2013_1107_1278,0.3485754375640969
2013_1107_1279,0.3802899628892944
2013_1107_1281,0.25325805276555613
2013_1107_1285,0.3912251747298007
2013_1107_1292,0.3411386924224008
2013_1107_1299,0.4933282653843586
2013_1107_1301,0.25168109838154196
2013_1107_1307,0.12215468079872926
2013_1107_1308,0.44134980060892404
2013_1107_1314,0.2451250228378079
2013_1107_1322,0.425533868113932
2013_1107_1323,0.22679491211653446
2013_1107_1326,0.1165445458778428
2013_1107_1328,0.3176053339809295
2013_1107_1329,0.16914051750845183
2013_1107_1332,0.37473277752758505
2013_1107_1334,0.4690081140248805
2013_1107_1338,0.23193898945750868
2013_1107_1355,0.3839294002243716
2013_1107_1361,0.19998977052580125
2013_1107_1380,0.5365750026997242
2013_1107_1387,0.14717699335756795
2013_1107_1388,0.36414565031460366
2013_1107_1393,0.15724279041544986
2013_1107_1396,0.25477963373813695
2013_1107_1417,0.1934234294256134
2013_1107_1424,0.15594866931376583
2013_1107_1433,0.16569938038179888
2013_1107_1434,0.46952643684491
2013_1107_1437,0.2695663686228965
2013_1107_1443,0.5389889223753812
2013_1107_1455,0.25442185314856725
2013_1107_1458,0.15865591760494224
2013_1112_1125,0.6903713226931594
2013_1112_1129,0.7344464631933622
2013_1112_1137,0.6967984294118773
2013_1112_1139,0.49590884394710144
2013_1112_1143,0.7011125657972446
2013_1112_1153,0.6345784412383778
2013_1112_1160,0.6329070925631652
2013_1112_1161,0.5715998428593085
2013_1112_1166,0.5415722557618832
2013_1112_1172,0.7794100303863799
2013_1112_1181,0.35711402653524527
2013_1112_1195,0.7949793151830784
2013_1112_1196,0.38491104064554016
2013_1112_1207,0.35121677597118406
2013_1112_1211,0.33606362197875506
2013_1112_1217,0.7546488506150616
2013_1112_1228,0.5052417183486677
2013_1112_1231,0.29223376446820537
2013_1112_1233,0.7835690759315111
2013_1112_1235,0.6314297128901678
2013_1112_1241,0.8151333910128231
2013_1112_1242,0.29676662905612416
2013_1112_1243,0.43147431877574816
2013_1112_1247,0.7345917171726393
2013_1112_1251,0.8073292754874553
2013_1112_1254,0.8110256837073304
2013_1112_1257,0.31947544480873125
2013_1112_1266,0.34252940244973806
2013_1112_1272,0.45766949191145345
2013_1112_1274,0.33626039529499474
2013_1112_1276,0.38038543310444306
2013_1112_1277,0.3826737905927313
2013_1112_1278,0.6775652841373537
2013_1112_1279,0.7067381820938506
2013_1112_1281,0.571163901465118
2013_1112_1285,0.7162116454148311
2013_1112_1292,0.6703322634713451
2013_1112_1299,0.7926910950221915
2013_1112_1301,0.569116089001732
2013_1112_1307,0.35336736315087236
2013_1112_1308,0.756249538675169
2013_1112_1314,0.5604844467827236
2013_1112_1322,0.7441812720597871
2013_1112_1323,0.5352946921831804
2013_1112_1326,0.34126654618520813
2013_1112_1328,0.6463683018736779
2013_1112_1329,0.44427774756319105
2013_1112_1332,0.7018130077722152
2013_1112_1334,0.7762222447133305
2013_1112_1338,0.5425263437018248
2013_1112_1355,0.7099228269540461
2013_1112_1361,0.49538859487978515
2013_1112_1380,0.8197233000107861
2013_1112_1387,0.40395709550452197
2013_1112_1388,0.6922153063645119
2013_1112_1393,0.42287659719446413
2013_1112_1396,0.5731295412888988
2013_1112_1417,0.4850032591897151
2013_1112_1424,0.42048706932759883
2013_1112_1433,0.43819114563743744
2013_1112_1434,0.7765835359992559
2013_1112_1437,0.5917219493652314
2013_1112_1443,0.8211539312206831
2013_1112_1455,0.5726682483004125
2013_1112_1458,0.42547174387604403
2013_1125_1129,0.553653825635768
2013_1125_1137,0.5075600489128816
2013_1125_1139,0.3061414594560954
2013_1125_1143,0.5126836751564071
2013_1125_1153,0.4378366492224024
2013_1125_1160,0.4360651261293864
2013_1125_1161,0.37437940557946636
2013_1125_1166,0.3463364583807905
2013_1125_1172,0.6131033196571437
2013_1125_1181,0.19944478449393155
2013_1125_1195,0.6349123237281928
2013_1125_1196,0.21915276252447446
2013_1125_1207,0.19536001688495064
2013_1125_1211,0.18501366292413568
2013_1125_1217,0.5797400239336699
2013_1125_1228,0.3141284911206482
2013_1125_1231,0.156247798107368
2013_1125_1233,0.6188646303100026
